ID,Label,Type
work_908,"Fonte, Bartolommeo, 1445–1513: Epigraphical and archaeological collections ('codex ashmolensis') [Latin]",history
work_909,"Bartolomeo de Grandis, U.J.D., 15th cent., canon of Syracuse (?): Bellorum Syracusanorum et antiquitatum Sicilie libri tres [Latin]",history
work_910,"Bartolo, of Sassoferrato, 1313–1357: Lectura super digestum nouum [Latin]",law
work_910,"Bartolo, of Sassoferrato, 1313–1357: Lectura super digestum nouum [Latin]",law
work_911,"Bartolo, of Sassoferrato, 1313–1357: Comm. on codex [Latin]",law
work_912,"Bartolo, of Sassoferrato, 1313–1357: Lectura super codicem [Latin]",law
work_913,"Bartolo, of Sassoferrato, 1313–1357: Lectura super infortiatum [Latin]",law
work_913,"Bartolo, of Sassoferrato, 1313–1357: Lectura super infortiatum [Latin]",law
work_914,"Bartolo, of Sassoferrato, 1313–1357: Tractatus super constitutione 'ad reprimendum' [Latin]",law
work_915,"Bartolo, of Sassoferrato, 1313–1357: Works [Latin]",law
work_916,"Basil, Saint, Bishop of Caesarea, approximately 329–379: Ad adolescentes [Greek]",theology
